"Family","Genus","Species","TaxonomyID"
"Malvaceae","Ochroma","pyramidale",272
"Lauraceae","Ocotea","canaliculata",273
"Lauraceae","Ocotea","sp.",274
"Tetramelaceae","Octomeles","sumatrana",275
"Fabaceae","Ormosia","cambodiana",276
"Fabaceae","Ormosia","sp.",277
"Bignoniaceae","Oroxylum","indicum",278
"Betulaceae","Ostrya","virginiana",279
"Myristicaceae","Otoba","sp.",280
"Ericaceae","Oxydendrum","arboreum",281
"Burseraceae","Pachylobus","buettneri",282
"Sapindaceae","Palaquium","sp.",283
"Sapotaceae","Palaquium","sp.",284
"Dipterocarpaceae","Parashorea","stellata",285
"Rosaceae","Parinari","anamensis",286
"Fabaceae","Parkia","sumatrana",287
"Fabaceae","Paubrasilia","echinata",288
"Fabaceae","Peltophorum","dasyrrhachis",289
"Pericopsis","Pericopsis","elata",290
"Phyllanthaceae","Phyllanthus","emblica",291
"Poaceae","Phyllostachys","edulis",292
"Pinaceae","Picea","abies",293
"Pinaceae","Picea","engelmannii",294
"Pinaceae","Picea","laxa",295
"Pinaceae","Picea","rubens",296
"Pinaceae","Picea","sitchensis",297
"Pinaceae","Picea","sp.",298
"Not Recorded","Pinus","sp.",299
"Pinaceae","Pinus","arizonica",300
"Pinus","Pinus","ayacahuite",301
"Pinaceae","Pinus","banksiana",302
"Pinaceae","Pinus","chiapensis",303
